group_type,group_value,model_name,rmsle
family,POULTRY,HistGradientBoosting,0.242716
family,PREPARED FOODS,HistGradientBoosting,0.311819
family,PRODUCE,HistGradientBoosting,0.180370
family,SCHOOL AND OFFICE SUPPLIES,HistGradientBoosting,1.133558
family,SEAFOOD,HistGradientBoosting,0.509419
store,1,HistGradientBoosting,0.446166
store,2,HistGradientBoosting,0.367132
store,3,HistGradientBoosting,0.304693
store,4,HistGradientBoosting,0.356937
store,5,HistGradientBoosting,0.393069
store,6,HistGradientBoosting,0.320735
store,7,HistGradientBoosting,0.364979
store,8,HistGradientBoosting,0.333048
store,9,HistGradientBoosting,0.489484
store,10,HistGradientBoosting,0.436923
store,11,HistGradientBoosting,0.431094
store,12,HistGradientBoosting,0.471080
store,13,HistGradientBoosting,0.481886
store,14,HistGradientBoosting,0.531396
store,15,HistGradientBoosting,0.457596
store,16,HistGradientBoosting,0.437013
store,17,HistGradientBoosting,0.442684
store,18,HistGradientBoosting,0.537455
store,19,HistGradientBoosting,0.625712
store,20,HistGradientBoosting,0.504798
store,21,HistGradientBoosting,0.411419
store,22,HistGradientBoosting,0.493562
store,23,HistGradientBoosting,0.423498
store,24,HistGradientBoosting,0.346882
store,25,HistGradientBoosting,0.499281
store,26,HistGradientBoosting,0.530378
store,27,HistGradientBoosting,0.375056
store,28,HistGradientBoosting,0.432730
store,29,HistGradientBoosting,0.381663
store,30,HistGradientBoosting,0.449466
store,31,HistGradientBoosting,0.397087
store,32,HistGradientBoosting,0.457901
store,33,HistGradientBoosting,0.408686
store,34,HistGradientBoosting,0.441678
store,35,HistGradientBoosting,0.443547
store,36,HistGradientBoosting,0.491036
store,37,HistGradientBoosting,0.375697
store,38,HistGradientBoosting,0.433735
store,39,HistGradientBoosting,0.421595
store,40,HistGradientBoosting,0.434469
store,41,HistGradientBoosting,0.407863
store,42,HistGradientBoosting,0.383422
store,43,HistGradientBoosting,0.440135
store,44,HistGradientBoosting,0.638349
store,45,HistGradientBoosting,0.351154
store,46,HistGradientBoosting,0.331318
store,47,HistGradientBoosting,0.680710
store,48,HistGradientBoosting,0.628402
store,49,HistGradientBoosting,0.334337
store,50,HistGradientBoosting,0.695486
store,51,HistGradientBoosting,0.383421
store,52,HistGradientBoosting,0.349986
store,53,HistGradientBoosting,0.387710
store,54,HistGradientBoosting,0.426258
date,2017-07-31 00:00:00,HistGradientBoosting,0.404970
date,2017-08-01 00:00:00,HistGradientBoosting,0.408713
date,2017-08-02 00:00:00,HistGradientBoosting,0.406889
date,2017-08-03 00:00:00,HistGradientBoosting,0.418629
date,2017-08-04 00:00:00,HistGradientBoosting,0.439013
date,2017-08-05 00:00:00,HistGradientBoosting,0.410178
date,2017-08-06 00:00:00,HistGradientBoosting,0.449242
date,2017-08-07 00:00:00,HistGradientBoosting,0.444628
date,2017-08-08 00:00:00,HistGradientBoosting,0.448305
date,2017-08-09 00:00:00,HistGradientBoosting,0.430905
date,2017-08-10 00:00:00,HistGradientBoosting,0.447691
date,2017-08-11 00:00:00,HistGradientBoosting,0.511398
date,2017-08-12 00:00:00,HistGradientBoosting,0.490205
date,2017-08-13 00:00:00,HistGradientBoosting,0.493846
date,2017-08-14 00:00:00,HistGradientBoosting,0.472028
date,2017-08-15 00:00:00,HistGradientBoosting,0.498996
